,E,I,M
5,0.8583618609911161,0.014197256999998666,0.0
6,0.2749201079579978,0.06205910247132555,0.015971914124998498
7,0.22542806689288836,0.18736775106419012,0.12595087900907292
8,0.2182294794450487,0.11082608441277184,0.20281116900934631
9,0.03387633180772574,0.1815616067796976,0.10230354177990092
10,0.0039690040398925085,0.07814672298285746,0.4598852399702007
11,0.0,0.01859244503409057,0.2790636902391218
12,0.0,0.045643546458763846,0.2327373340628157
13,0.0,0.05477225575051662,0.2073644135332772
14,0.0,0.0,0.08944271909999159
