,E,I1,I2,M
7,1.0,0.0,0.0,0.0
8,0.84,0.08,0.08,0.0
9,0.0,0.673469387755102,0.30612244897959184,0.02040816326530612
10,0.0,0.12790697674418605,0.75,0.12209302325581395
11,0.0,0.0,0.25,0.75
