,E,I,M
1,0.46351548340925663,0.0,0.0
2,0.13896735241330407,0.00523056836842056,0.0
3,0.06226998490772391,0.04277770415519182,0.0
4,0.09217749469757662,0.20850018186106659,0.0
5,0.05848089097477738,0.14947436512349638,0.0029606624730008978
6,0.0034584628144311135,0.1369532779936291,0.052282236987870094
7,0.009977575653851116,0.21324781932454293,0.21697555425047008
8,0.0016015279459215383,0.017372457049722744,0.035751518305957554
9,0.0,0.0,0.039232288268263485
10,0.0019989874361502416,0.0,0.15517173504136048
11,0.0,0.0,0.3233237581789927
12,0.0,0.0,0.3409545424246464
13,0.0,0.0,0.14907119849998599
14,0.0,0.0,0.0
