,E,I,M
1,1.0,0.0,0.0
2,0.9941520467836257,0.005847953216374269,0.0
3,0.9238095238095239,0.0761904761904762,0.0
4,0.4581673306772908,0.5418326693227091,0.0
5,0.12972972972972974,0.8648648648648649,0.005405405405405406
6,0.05305039787798409,0.8726790450928382,0.07427055702917772
7,0.041811846689895474,0.22996515679442509,0.7282229965156795
8,0.011695906432748537,0.005847953216374269,0.9824561403508771
9,0.011594202898550725,0.0,0.9884057971014493
10,0.0,0.0,1.0
11,0.0,0.0,1.0
12,0.0,0.0,1.0
13,0.0,0.0,1.0
14,0.0,0.0,1.0
